0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
20   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/transmart/transmart-miktmc/transmart-data/solr/contexts at interval 0
25   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/transmart/transmart-miktmc/transmart-data/solr/contexts/solr-jetty-context.xml
63   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/transmart/transmart-miktmc/transmart-data/solr/webapps/solr.war!/ to /home/transmart/transmart-miktmc/transmart-data/solr/solr-webapp/webapp
1093 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
1659 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
1660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
1660 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
1660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
1660 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
1661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
1661 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
1661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
1661 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
1662 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
1661 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
1662 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
1662 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
1662 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
1662 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
1663 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-3.9.jar' to classloader
1663 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
1663 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
1663 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
1664 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
1664 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
1664 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
1664 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
1665 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
1664 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
1665 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
1665 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
1665 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
1665 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
1666 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
1666 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
1666 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
1666 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
1667 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/icu4j-49.1.jar' to classloader
1667 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-3.9.jar' to classloader
1667 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
1667 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-3.9.jar' to classloader
1668 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
1667 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
1668 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
1668 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
1668 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
1668 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
1669 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
1669 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
1669 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
1669 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
1670 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/tika-core-1.4.jar' to classloader
1670 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
1670 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
1670 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
1671 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
1670 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
1671 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
1671 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
1671 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
1672 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
1672 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
1672 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-cell-4.5.0.jar' to classloader
1672 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
1672 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
1673 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
1673 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
1673 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
1673 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/icu4j-49.1.jar' to classloader
1673 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
1673 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/icu4j-49.1.jar' to classloader
1674 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
1674 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
1674 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
1675 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-velocity-4.5.0.jar' to classloader
1675 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
1675 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
1675 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/activation-1.1.jar' to classloader
1675 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
1676 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/postgresql-42.3.3.jar' to classloader
1675 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
1676 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/mail-1.4.1.jar' to classloader
