0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
20   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/transmart/transmart-miktmc/transmart-data/solr/contexts at interval 0
25   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/transmart/transmart-miktmc/transmart-data/solr/contexts/solr-jetty-context.xml
63   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/transmart/transmart-miktmc/transmart-data/solr/webapps/solr.war!/ to /home/transmart/transmart-miktmc/transmart-data/solr/solr-webapp/webapp
1093 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1680 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-cell-4.5.0.jar' to classloader
1680 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
1680 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
1680 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
1681 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
1681 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
1681 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
1681 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
1682 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
1682 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-velocity-4.5.0.jar' to classloader
1682 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-velocity-4.5.0.jar' to classloader
1682 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/activation-1.1.jar' to classloader
1683 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/postgresql-42.3.3.jar' to classloader
1683 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/activation-1.1.jar' to classloader
1683 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/mail-1.4.1.jar' to classloader
1683 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/postgresql-42.3.3.jar' to classloader
1683 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/contrib/dataimporthandler/lib/mail-1.4.1.jar' to classloader
1684 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-dataimporthandler-4.5.0.jar' to classloader
1684 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/transmart/transmart-miktmc/transmart-data/solr/dist/solr-dataimporthandler-4.5.0.jar' to classloader
1768 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.update.SolrIndexConfig  – IndexWriter infoStream solr logging is enabled
1775 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_45
1777 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.update.SolrIndexConfig  – IndexWriter infoStream solr logging is enabled
1782 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_45
1782 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.update.SolrIndexConfig  – IndexWriter infoStream solr logging is enabled
1787 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_45
1890 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
1890 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
1890 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
1898 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
1899 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
1898 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
1909 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – [sample] Schema name=tranSMART
1909 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.schema.IndexSchema  – [rwg] Schema name=faceted_search
1911 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [browse] Schema name=tranSMART
1946 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is STUDY
1947 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
1947 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.schema.IndexSchema  – unique key field: ANALYSIS_ID
1967 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
1970 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is barcode
1970 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
1970 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
1971 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
1972 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
1975 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – [rwg] Opening new SolrCore at /home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/, dataDir=/home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data/
1977 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.JmxMonitoredMap  – No JMX servers found, not exposing Solr information with JMX.
1985 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – [rwg] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
1985 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – [rwg] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
2003 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data
2003 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data/index/
2003 [coreLoadExecutor-3-thread-3] WARN  org.apache.solr.core.SolrCore  – [rwg] Solr index directory '/home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data/index' doesn't exist. Creating new index...
2009 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data/index
2071 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
2071 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
2072 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – [sample] Opening new SolrCore at /home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/, dataDir=/home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data/
2072 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [browse] Opening new SolrCore at /home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/, dataDir=/home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data/
2073 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.JmxMonitoredMap  – No JMX servers found, not exposing Solr information with JMX.
2072 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.JmxMonitoredMap  – No JMX servers found, not exposing Solr information with JMX.
2073 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [browse] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
2073 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/home/transmart/transmart-miktmc/transmart-data/solr/solr/rwg/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4614675e; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
2074 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [browse] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
2073 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – [sample] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
2074 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
2074 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – [sample] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
2074 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data
2075 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data
2075 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data/index/
2075 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data/index/
2076 [coreLoadExecutor-3-thread-2] WARN  org.apache.solr.core.SolrCore  – [sample] Solr index directory '/home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data/index' doesn't exist. Creating new index...
2076 [coreLoadExecutor-3-thread-1] WARN  org.apache.solr.core.SolrCore  – [browse] Solr index directory '/home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data/index' doesn't exist. Creating new index...
2076 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data/index
2076 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data/index
2077 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – created json: solr.JSONResponseWriter
2077 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – adding lazy queryResponseWriter: solr.VelocityResponseWriter
2078 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – created velocity: solr.VelocityResponseWriter
2080 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – created xslt: solr.XSLTResponseWriter
2080 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.response.XSLTResponseWriter  – xsltCacheLifetimeSeconds=5
2085 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/home/transmart/transmart-miktmc/transmart-data/solr/solr/browse/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@2c7a9ed6; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
2085 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/home/transmart/transmart-miktmc/transmart-data/solr/solr/sample/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@67a83272; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
2085 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
2085 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
2086 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created json: solr.JSONResponseWriter
2086 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – adding lazy queryResponseWriter: solr.VelocityResponseWriter
2086 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created velocity: solr.VelocityResponseWriter
2086 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – created json: solr.JSONResponseWriter
2086 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – adding lazy queryResponseWriter: solr.VelocityResponseWriter
2086 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – created velocity: solr.VelocityResponseWriter
2086 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created xslt: solr.XSLTResponseWriter
2087 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – created xslt: solr.XSLTResponseWriter
2087 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.response.XSLTResponseWriter  – xsltCacheLifetimeSeconds=5
2087 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.response.XSLTResponseWriter  – xsltCacheLifetimeSeconds=5
2157 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
2157 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
2157 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
2172 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
2172 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
2173 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
2173 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
2173 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
2173 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
2174 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
2174 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
2174 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
2174 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
2174 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
2174 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
2177 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
2177 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
2177 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
2178 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.JsonUpdateRequestHandler
2179 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.JsonUpdateRequestHandler
2179 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.JsonUpdateRequestHandler
2180 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: solr.CSVRequestHandler
2180 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: solr.CSVRequestHandler
2180 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
2180 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: solr.CSVRequestHandler
2181 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
2180 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
2181 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/extract: solr.extraction.ExtractingRequestHandler
2181 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
2182 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
2182 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
2181 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /update/extract: solr.extraction.ExtractingRequestHandler
2182 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
2182 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
2181 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /update/extract: solr.extraction.ExtractingRequestHandler
2183 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
2182 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
2183 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
2183 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
2183 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
2183 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
2184 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
2184 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
2184 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
2184 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
2186 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
2186 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
2186 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
2188 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
2188 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
2188 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
2195 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
2195 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2195 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
2196 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2195 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
2196 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2196 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /spell: solr.SearchHandler
2196 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2196 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /spell: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /tvrh: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
2196 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /spell: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
2198 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2198 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /tvrh: solr.SearchHandler
2198 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
2198 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
2198 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2197 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /tvrh: solr.SearchHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2199 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /elevate: solr.SearchHandler
2199 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /elevate: solr.SearchHandler
2198 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
2200 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2200 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
2200 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
2200 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /elevate: solr.SearchHandler
2204 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.RequestHandlers  – created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
2204 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
2204 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.core.RequestHandlers  – created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
2220 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2220 [coreLoadExecutor-3-thread-3] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2220 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
