"4"	"1"
"5"	"2"
"6"	"3"
"5071"	"701145587"
"5071"	"3"
"5027"	"12345"
"6"	"12345"
"5"	"12345"
"6"	"101262"
"5071"	"101363"
"6"	"101363"
"5071"	"101383"
"5071"	"101545"
"5071"	"101571"
"6"	"101706"
"5071"	"102168"
"6"	"102168"
"5071"	"101981"
"6"	"101981"
"5071"	"101984"
"6"	"101984"
"5027"	"101984"
"5071"	"101985"
"6"	"101985"
"5071"	"103302"
"6"	"103302"
"5071"	"101987"
"6"	"101987"
"4"	"103582"
"5071"	"102001"
"6"	"102001"
"5071"	"102021"
"6"	"102021"
"5071"	"103647"
"5"	"101984"
"4"	"101984"
"5071"	"101961"
"6"	"101961"
"5071"	"102041"
"6"	"102041"
"6"	"103647"
"5071"	"102061"
"6"	"102061"
"5071"	"103648"
"5071"	"102062"
"6"	"102062"
"6"	"103648"
"5071"	"102063"
"6"	"102063"
"5071"	"105411"
"5071"	"102064"
"6"	"102064"
"6"	"105411"
"5071"	"102065"
"6"	"102065"
"5071"	"102066"
"6"	"102066"
"5071"	"102068"
"6"	"102068"
"5071"	"102071"
"6"	"102071"
"5071"	"102072"
"6"	"102072"
"5071"	"107907"
"6"	"107907"
"5071"	"102074"
"6"	"102074"
"5071"	"102075"
"6"	"102075"
"5071"	"102076"
"5071"	"102079"
"6"	"102079"
"5071"	"110428"
"6"	"110428"
"5071"	"102081"
"6"	"102081"
"5071"	"102083"
"6"	"102083"
"5071"	"102084"
"5071"	"111683"
"6"	"102084"
"5071"	"102085"
"6"	"102085"
"4"	"111683"
"5071"	"102086"
"6"	"102086"
"5"	"111683"
"6"	"111683"
"5071"	"102088"
"6"	"102088"
"5027"	"111683"
"5071"	"111782"
"5071"	"102090"
"6"	"102090"
"6"	"111782"
"5071"	"102092"
"6"	"102092"
"5071"	"102093"
"6"	"102093"
"5071"	"102094"
"6"	"102094"
"5071"	"112083"
"6"	"112083"
"5071"	"102096"
"6"	"102096"
"5071"	"102098"
"6"	"102098"
"5071"	"102099"
"6"	"102099"
"5071"	"102100"
"6"	"102100"
"5071"	"112482"
"6"	"112482"
"6"	"101545"
"5071"	"113162"
"6"	"113162"
"5071"	"113849"
"6"	"113849"
"4"	"101545"
"5"	"101545"
"5027"	"101545"
"6"	"101223"
"5071"	"102101"
"6"	"102101"
"5071"	"120256"
"5071"	"102122"
"6"	"102122"
"5071"	"102123"
"6"	"102123"
"5071"	"102227"
"6"	"102227"
"5071"	"102582"
"5071"	"102126"
"6"	"102126"
"6"	"102582"
"5071"	"102127"
"6"	"102127"
"6"	"120256"
"5071"	"102128"
"6"	"102128"
"5071"	"120439"
"5071"	"102129"
"6"	"102129"
"6"	"120439"
"5071"	"102130"
"6"	"102130"
"5071"	"120643"
"5071"	"102131"
"6"	"102131"
"6"	"120643"
"5071"	"102132"
"6"	"102132"
"5071"	"116582"
"5071"	"102134"
"6"	"102134"
"6"	"116582"
"5071"	"102135"
"6"	"102135"
"5071"	"102136"
"6"	"102136"
"5071"	"102137"
"6"	"102137"
"5071"	"102138"
"6"	"102138"
"5071"	"102141"
"6"	"102141"
"5071"	"102165"
"4"	"102165"
"5"	"102165"
"6"	"102165"
"5027"	"102165"
"5071"	"102167"
"6"	"102167"
"5071"	"120799"
